| P05787
19 0.0251
20 0.6256
21 0.1604
22 0.034
23 0.0126
| O75223
1 0.0285
2 0.0
3 0.0
4 0.0
5 0.0
6 0.4629
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0935
12 0.0
13 0.0
14 0.0
15 0.1416
16 0.0
17 0.0445
18 0.0
19 0.0
20 0.0
21 0.1412
22 0.0
23 0.0878
| O75340
1 0.0
2 0.0
3 0.0
4 0.0
5 1.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.0
14 0.0
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| O75351
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.0
14 0.0
15 0.0
16 0.0
17 0.0
18 0.0
19 1.0
20 0.0
21 0.0
22 0.0
23 0.0
| O75367
1 0.0054
2 0.0214
3 0.1005
4 0.0199
5 0.0
6 0.0
7 0.0
8 0.0043
9 0.0051
10 0.0101
11 0.0084
12 0.0108
13 0.5505
14 0.1578
15 0.0191
16 0.0164
17 0.0099
18 0.0057
19 0.0092
20 0.023
21 0.0082
22 0.0073
23 0.0069
| O75396
1 0.0
2 0.0328
3 0.0
4 0.0
5 0.0
6 0.0
7 0.7716
8 0.0
9 0.0
10 0.0229
11 0.0
12 0.0
13 0.0356
14 0.0207
15 0.0
16 0.0
17 0.0146
18 0.0323
19 0.0414
20 0.0281
21 0.0
22 0.0
23 0.0
| O75436
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 1.0
14 0.0
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| O75477
1 0.0
2 0.0
3 0.0505
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.1074
14 0.842
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| O75489
1 0.0155
2 0.0106
3 0.0137
4 0.0081
5 0.0098
6 0.0
7 0.036
8 0.6762
9 0.0079
10 0.0141
11 0.0078
12 0.0209
13 0.0153
14 0.0154
15 0.0106
16 0.0186
17 0.0146
18 0.0127
19 0.0223
20 0.0246
21 0.0176
22 0.0151
23 0.0125
| O75521
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.6662
14 0.3338
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| O75607
1 0.0235
2 0.0
3 0.0
4 0.0
5 0.0731
6 0.8065
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.0
14 0.0
15 0.0
16 0.007
17 0.0
18 0.0283
19 0.0
20 0.0
21 0.0167
22 0.0448
23 0.0
| O75608
1 0.0
2 0.0
3 0.0
4 0.0973
